Marca,Nome,Review
CAUDALIE,SOLUÇÃO SECATIVA SALICÍLICA CAUDALIE VINOPURE,"Produto bom e eficaz, porém a esbalagem é muito ruim, amassa o tempo todo e se levar na necessarie fica todo amassada e quando abre vaza produto"
SEPHORA COLLECTION,GEL DE LIMPEZA FACIAL ANTI-IMPERFEIÇÕES SEPHORA COLLECTION FACE & BODY CLEANSER,"Não é irritante, não resseca, não queima a pele, não tem cheiro e faz seu trabalho. Ajuda com a acne e tira bem a maquiagem. Recomendo."
SHISEIDO,CREME HIDRATANTE SHISEIDO VITAL PERFECTION UPLIFITING AND FIRMING ADVANCED CREAM,"Não dou 5 estrelas apenas pelo sensorial, é um creme muito denso e fica um pouco pegajoso, eu não gosto dessa sensação grudenta/oleosa no rosto então eu uso só em dias mais frios e só à noite. Minha pele é mista."
SHISEIDO,CREME HIDRATANTE SHISEIDO VITAL PERFECTION UPLIFITING AND FIRMING ADVANCED CREAM,"Estou na metade do primeiro. É maravilhoso! Não fica gorduroso! Sinto a minha pele com muito mais glow e com muito mais firmeza! Amando! Comprei na Sephora."
SHISEIDO,BÁLSAMO MULTIFUNCIONAL SHISEIDO WASO CALMELLIA SOS,"Muito bom! é literalmente um balm m-u-l-t-i-f-u-c-i-o-n-a-l serve pro rosto, abaixo dos olhos, boca, unhas, cotovelo, joelhos e cabelos etc…"
SHISEIDO,BÁLSAMO MULTIFUNCIONAL SHISEIDO WASO CALMELLIA SOS,"Tenho mãos, cutículas e lábios mega ressecados, que criação perfeita este balm!✨️✨️✨️✨️✨️✨️💛"
SHISEIDO,BÁLSAMO MULTIFUNCIONAL SHISEIDO WASO CALMELLIA SOS,"o produto é bom, mas o tamanho da latinha é ASSUSTADOR de tao pequeno. Pelo valor de 200 reais tem produtos com pouca diferença que valem mais o investimento."
SHISEIDO,BÁLSAMO MULTIFUNCIONAL SHISEIDO WASO CALMELLIA SOS,"Muito bom! Recomendo! Utilizo mais nos lábios e está sendo transformador."
SHISEIDO,SÉRUM SHISEIDO FUTURE SOLUTION LX LEGENDARY ENMEI ULTIMATE LUMINANCE,"MUITO BOM!"
SHISEIDO,SÉRUM SHISEIDO FUTURE SOLUTION LX LEGENDARY ENMEI ULTIMATE LUMINANCE,"Comprei e infelizmente não deu resultado algum. Acredito que foi pela minha idade (73anos)Usei certinho e durou 5 meses."
SHISEIDO,SÉRUM SHISEIDO FUTURE SOLUTION LX LEGENDARY ENMEI ULTIMATE LUMINANCE,"Eu comprei dois e viajei para NY eu amei ele é puro glamour meninas"
SHISEIDO,SÉRUM SHISEIDO FUTURE SOLUTION LX LEGENDARY ENMEI ULTIMATE LUMINANCE,"Ah, como eu sou rica plebeia eu comprei 2 desses e mais vários produtos da Dior, querida compre sem medo e obtenha glamour de verdade"
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,AMO AMO AMO
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,Amo esse sabonete mas confesso que não sinto nada de tãooo revolucionário nele... mas se usado com o tônico vinopure faz o combo perfeito pra pele! Sinto que são dois produtos complementares.
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,"não fico mais sem! guanhei uma amostra de 3ml e tive uma ótima impressão do produto, em outra compra pela Sephora ganhei uma amostra de 30ml e pude experimentar melhor, e realmente a experiência é de pele limpa sem ressecar, tive experiência com outros produtos para limpeza de rosto inclusive uns recomendados pela dermatologista mas nenhum chega aos pés, ja fiz meu pedido do pote grande e a Caudalie virou um vicio!!!"
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,"Estou encantada com esse gel de limpeza, comprei um kit da caudalie a um tempinho atrás, usei os outros produtos e acabei esquecendo de usar ele, mas tem uma semana que estou usando direto, e ele é incrível, promove a sensação de pele limpinha sem ressecar, e controla bem a oleosidade !"
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,"Adoro esse produto Caudalie. Aliás, tudo o que vem da Caudalie é maravilhoso. Nunca escrevi para avaliar nada neste site, mas, pela Caudalie vale a pena! Idaluz"
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,"Achei ele maravilhoso, deixa a pele lisinha e macia."
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,Limpa muito a pele deixando uma agradável sensação de frescor. Não resseca e não deixa a pele grudenta após o uso. Adorei!
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,Amei esse produto ganhei amostra agora vou compra e pretendo continuar usando
CAUDALIE,GEL DE LIMPEZA PURIFICANTE CAUDALIE VINOPURE,"Gosto bastante, leve, segura oleosidade por um tempo. Rende bem. Recomendo"
CAUDALIE,ÓLEO DE LIMPEZA CAUDALIE VINOCLEAN,AMO
CAUDALIE,ÓLEO DE LIMPEZA CAUDALIE VINOCLEAN,"Acho q ele é muito pouco falado, mas é o melhor cleansing oil q eu já usei, não arde em nada meus olhos q são muito sensíveis, remove a maquiagens prova d’água com facilidade, e não deixa nada oleoso o rosto qdo enxágua, aliás não vejo necessidade nenhuma de lavar novamente o rosto com outro produto depois dele e minha pele tem tendência a oleosidade e fica muito macia."
CAUDALIE,ÓLEO DE LIMPEZA CAUDALIE VINOCLEAN,"Acho ele um pouco caro pelo o que oferece mas somente ele e o cleansing balm da Clinique mantém minha pele limpa, não ardem os olhos e não me dão espinhas. Tentei um mais em conta(Biore) e minha pele ficou péssima. Só não classifiquei com 5 estrelas por causa do preço alto."
CAUDALIE,ÓLEO DE LIMPEZA CAUDALIE VINOCLEAN,Só remove se misturar com sabonete não tem cheiro agradável como os outros produtos me arrependi
DERMALOGICA,ÓLEO DE LIMPEZA DERMALOGICA PRECLEANSE CLEANSING OIL,BOM
DERMALOGICA,ÓLEO DE LIMPEZA DERMALOGICA PRECLEANSE CLEANSING OIL,"Comprei baseado em muitas resenhas gringas... ele é bom! Mas pra minha pele que é sensível deu reação alérgica em todas as vezes que usei até agora. Enche meu rosto de bolinhas, a pele fica vermelha e coça/arde bastante! Depois de alguns minutos passa e a pele volta ao normal. Ele não some totalmente com o enxágue, necessita de um sabonete depois pra tirar tudo! O cheiro é de limão bem levinho. Não recompraria. Existem beeem melhores"
DERMALOGICA,ÓLEO DE LIMPEZA DERMALOGICA PRECLEANSE CLEANSING OIL,"Cheiro horrivel de óleo de cozinha, textura pegajosa, pouco eficiente... horrivel!!"
